index,achievement_name,achievement_desc,achievement_percentage
106,传奇杀手,杀手勋级升至荧虹I。,4.7%,
107,拨开迷雾 ,在公共比赛中，使杀手气场显示50次。,4.6%,
108,极速击杀,在公共比赛中，命中带有急速状态的逃生者8次。 ,4.6%,
109,血腥屠夫,在公共比赛中，扮演食人魔，并成功用电锯命中逃生者，累计100次。,4.2%,
110,救援任务,当杀手搬运逃生者时，用木板击晕杀手5次。,4.2%,
111,妮娅专家,在一场公共比赛中，扮演妮娅且仅使用其3项专属技能，并成功逃脱。,4.2%,
112,比尔专家,在一场公共比赛中，扮演比尔且仅使用其3项专属技能，并成功逃脱。,4.1%,
113,分诊,有逃生者在远处受伤时，在移动不超过16米的情况下对其进行治疗，总计30次。,4.1%,
114,恶灵盛筵,在公共比赛中，累计献祭1000名逃生者。,4.1%,
115,恨意滔天,在公共比赛中，扮演怨灵，使用山冈作祟击倒30名逃生者。,4.0%,
116,定身击倒,在公共比赛中，扮演死亡枪手，击倒被矛枪刺中的逃生者30次。,3.9%,
117,设陷者专家,在一场公共比赛中，扮演设陷者且仅使用其3项专属技能，并完成一次无情胜利。,3.9%,
118,无声靠近,在公共比赛中，打断并抓取25名正在修理发电机的逃生者。,3.8%,
119,梦境恶魔,在公共比赛中，累计将200名逃生者拖入梦境世界。,3.7%,
120,千刀万剐,在公共比赛中，使逃生者的裂伤条蓄满，累计50次。,3.6%,
121,舍己救人,保护刚被解救的逃生者，在其附近为其承受一次攻击，累计250次。,3.6%,
122,大卫专家,在一场公共比赛中，扮演大卫且仅使用其3项专属技能，并成功逃脱。,3.5%,
123,高速追击,扮演杀手，在公共比赛中追杀逃生者时翻越50次。,3.5%,
124,凤敏专家,在一场公共比赛中，扮演凤敏且仅使用其3项专属技能，并成功逃脱。,3.5%,
125,幽灵专家,在一场公共比赛中，扮演幽灵且仅使用其3项专属技能，并完成一次无情胜利。,3.5%,
126,乡镇重建,在一场公共比赛中，在主屋修理完成发电机，并成功逃脱。,3.4%,
127,夺命飞斧,在公共比赛中，投掷1000次飞斧。,3.4%,
128,极速击杀,在公共比赛中，使用致命横冲命中30名逃生者。,3.1%,
129,挫骨削皮,在公共比赛中，扮演农场主，并成功用电锯命中逃生者，累计100次。,3.1%,
130,不治之症,在公共比赛中，扮演瘟疫，并击倒达到最高感染等级的逃生者，累计50次。,3.1%,
131,农场主专家,在一场公共比赛中，扮演农场主且仅使用其3项专属技能，并完成一次无情胜利。,3.1%,
132,劳丽专家,在一场公共比赛中，扮演劳丽且仅使用其3项专属技能，并成功逃脱。,3.0%,
133,触发频频,在公共比赛中，扮演妖巫，使逃生者触发鬼灵陷阱，累计300次。,2.9%,
134,凯特专家,在一场公共比赛中，扮演凯特且仅使用其3项专属技能，并成功逃脱。,2.9%,
135,不堪一击,在公共比赛中，扮演鬼面，并击倒50名被标记的逃生者。,2.8%,
136,电击疗程,在公共比赛中，用医生的电击疗法攻击命中逃生者，累计500次。,2.8%,
137,虚空行者,在公共比赛中，扮演护士并闪现攻击命中，累计500次。,2.7%,
138,埃斯专家,在一场公共比赛中，扮演埃斯且仅使用其3项专属技能，并成功逃脱。,2.6%,
139,Chorus of Chaos,In public matches， make 30 unique survivors scream.,2.6%,
140,泰普专家,在一场公共比赛中，扮演泰普警探且仅使用其3项专属技能，并成功逃脱。,2.4%,
141,女猎手专家,在一场公共比赛中，扮演女猎手且仅使用其3项专属技能，并完成一次无情胜利。,2.3%,
142,亚当专家,在一场公共比赛中，扮演亚当且仅使用其3项专属技能，并成功逃脱。,2.3%,
143,命不该绝,在公共比赛中，解救自己，累计50次。,2.3%,
144,一心多用,在公共比赛中，在搬运一名逃生者时击倒其他逃生者，累计30次。,2.3%,
145,昆汀专家,在一场公共比赛中，扮演昆汀且仅使用其3项专属技能，并成功逃脱。,2.2%,
146,护士专家,在一场公共比赛中，扮演护士且仅使用其3项专属技能，并完成一次无情胜利。,2.2%,
147,迈克尔·迈尔斯专家,在一场公共比赛中，扮演迈克尔·迈尔斯且仅使用其3项专属技能，并完成一次无情胜利。,2.2%,
148,唯专家,在一场公共比赛中，扮演木村唯且仅使用其3项专属技能，并成功逃脱。,2.2%,
149,简专家,在一场公共比赛中，扮演简且仅使用其3项专属技能，并成功逃脱。,2.2%,
150,医生专家,在一场公共比赛中，扮演医生且仅使用其3项专属技能，并完成一次无情胜利。,2.1%,
151,攻壳发电队,在公共比赛中，在无法侦测状态下破坏50台发电机。,2.1%,
152,痛苦净化,在公共比赛中，扮演处刑者，并将30名逃生者困入赎罪牢笼。,2.1%,
153,恶魔化身,在一场公共比赛中，以恶魔附身III击杀所有4名逃生者。,2.1%,
154,食人魔专家,在一场公共比赛中，扮演食人魔且仅使用其3项专属技能，并完成一次无情胜利。,2.0%,
155,虚空刺客,在一场公共比赛中，连续闪现至少3次抵达一名逃生者身旁，并成功抓取逃生者。,2.0%,
156,杰夫专家,在一场公共比赛中，扮演杰夫且仅使用其3项专属技能，并成功逃脱。,2.0%,
157,撕碎他们的灵魂,在公共比赛中，使用魔鬼锁链绑定逃生者50次。,2.0%,
158,生物武器,在公共比赛中，扮演Nemesis，并使用触手攻击击倒被污染的逃生者，累计65次。,2.0%,
159,我想玩个游戏,在公共比赛中，扮演门徒，并给逃生者安装下颚撕裂器，累计125次。,2.0%,
160,血流成河,在公共比赛中，扮演鬼武士，在鲜血狂怒期间击倒75名逃生者。,2.0%,
161,无柜可藏,在公共比赛中，抓住25名躲在储物柜中的逃生者。,2.0%,
162,病毒录像,在公共比赛中，对逃生者施加怨咒状态，累计30次。,2.0%,
163,谢丽尔专家,在一场公共比赛中，扮演谢丽尔·梅森且仅使用其3项专属技能，并成功逃脱。,2.0%,
164,快速拔枪,在公共比赛中，打断逃生者净化图腾10次。,2.0%,
165,老练全才,仅使用3项通用技能，修理总计1台发电机并成功逃脱，累计8次。,1.9%,
166,梦魇专家,在一场公共比赛中，扮演梦魇且仅使用其3项专属技能，并完成一次无情胜利。,1.9%,
167,军团专家,在一场公共比赛中，扮演军团且仅使用其3项专属技能，并完成一次无情胜利。,1.9%,
168,妖巫专家,在一场公共比赛中，扮演妖巫且仅使用其3项专属技能，并完成一次无情胜利。,1.9%,
169,烟熏肉,在公共比赛中，累计击倒100名因精炼毒酒而沉醉的逃生者。,1.9%,
170,阿什专家,在一场公共比赛中，扮演阿什且仅使用其3项专属技能，并成功逃脱。,1.9%,
171,米凯拉专家,在公共比赛中，使用米凯拉并仅装备她的3个专属天赋成功逃脱。,1.8%,
172,赶尽杀绝,在公共比赛中，扮演设陷者，利用捕兽夹累计捕获100名逃生者。,1.8%,
173,萨丽娜专家,在一场公共比赛中，扮演萨丽娜·卡希尔且仅使用其3项专属技能，并成功逃脱。,1.8%,
174,专家全才,仅使用2项通用技能，修理总计1台发电机并成功逃脱，累计8次。,1.8%,
175,怨灵专家,在一场公共比赛中，扮演怨灵且仅使用其3项专属技能，并完成一次无情胜利。,1.8%,
176,里昂专家,在一场公共比赛中，扮演里昂且仅使用其3项专属技能，并成功逃脱。,1.7%,
177,吉儿专家,在一场公共比赛中，扮演吉儿且仅使用其3项专属技能，并成功逃脱。,1.7%,
178,小丑专家,在一场公共比赛中，扮演小丑且仅使用其3项专属技能，并完成一次无情胜利。,1.7%,
179,鬼面专家,在一场公共比赛中，扮演鬼面且仅使用其3项专属技能，并完成一次无情胜利。,1.7%,
180,门徒专家,在一场公共比赛中，扮演门徒且仅使用其3项专属技能，并完成一次无情胜利。,1.7%,
181,灌木丛中的杀手,在公共比赛中，扮演迈克尔·迈尔斯，并通过尾随完成累计300次力量阶段提升。,1.6%,
182,菲利克斯专家,在一场公共比赛中，扮演菲利克斯·里奇特且仅使用其3项专属技能，并成功逃脱。,1.6%,
183,允珍专家,在一场公共比赛中，扮演允珍且仅使用其3项专属技能，并成功逃脱。,1.5%,
184,伊洛迪专家,在一场公共比赛中，扮演伊洛迪且仅使用其3项专属技能，并成功逃脱。,1.5%,
185,瘟疫专家,在一场公共比赛中，扮演瘟疫且仅使用其3项专属技能，并完成一次无情胜利。,1.4%,
186,Hack the Mainframe,In a public match， repair the generator by the command center on Shelter Woods and escape.,1.4%,
187,死亡枪手专家,在一场公共比赛中，扮演死亡枪手且仅使用其3项专属技能，并完成一次无情胜利。,1.3%,
188,处刑者专家,在一场公共比赛中，扮演处刑者且仅使用其3项专属技能，并完成一次无情胜利。,1.3%,
189,老练女猎手,在公共比赛中，扮演女猎手，用飞斧从24米外击倒逃生者，累计20次。,1.3%,
190,枯萎者专家,在一场公共比赛中，扮演枯萎者且仅使用其3项专属技能，并完成一次无情胜利。,1.2%,
191,鬼武士专家,在一场公共比赛中，扮演鬼武士且仅使用其3项专属技能，并完成一次无情胜利。,1.2%,
192,双人组,在公共比赛中，扮演连体婴，并在维克多抓住逃生者的情况下将其击倒，累计10次。,1.2%,
193,万金油,在公共比赛中，仅使用3项通用技能，并完成5次无情胜利。,1.2%,
194,骗术师专家,在一场公共比赛中，扮演骗术师且仅使用其3项专属技能，并完成一次无情胜利。,1.2%,
195,Nemesis专家,在一场公共比赛中，扮演Nemesis且仅使用其3项专属技能，并完成一次无情胜利。,1.2%,
196,强手操作,在公共比赛中，装备0项技能，累计完全修理1台发电机并成功逃脱，累计8次。,1.1%,
197,约拿专家,在一场公共比赛中，扮演约拿且仅使用其3项专属天赋，并成功逃脱。 ,1.0%,
198,神行太保,提升其他逃生者的移动速度50次。,1.0%,
199,保佑你,在公共比赛中，净化1个厄咒图腾20次。,0.9%,
200,地狱修士专家,在一场公共比赛中，扮演地狱修士且仅使用其3项专属技能，并完成一次无情胜利。,0.9%,
201,连体婴专家,在一场公共比赛中，扮演连体婴且仅使用其3项专属技能，并完成一次无情胜利。,0.9%,
202,海蒂专家,在一场公共比赛中，扮演海蒂·考尔且仅使用其3项专属技能，并成功逃脱。,0.9%,
203,蕾贝卡专家,在一场公共比赛中，扮演蕾贝卡且仅使用其3项专属技能，并成功逃脱。 ,0.8%,
204,艾达专家,在一场公共比赛中，扮演艾达且仅使用其3项专属技能，并成功逃脱。 ,0.8%,
205,夜间出动,在公共比赛中，在暗夜生效时累计击倒50名逃生者。,0.8%,
206,贞子专家,在一场公共比赛中，扮演贞子且仅使用其3项专属技能，并完成一次无情胜利。,0.8%,
207,阳一专家,在一场公共比赛中，扮演阳一且仅使用其3项专属技能，并成功逃脱。,0.8%,
208,艺术专家,在一场公共比赛中，扮演艺术家且仅使用其3项专属天赋，并完成一次无情胜利。 ,0.8%,
209,碰撞路线,在公共比赛中，将一名逃生者砸向其他逃生者，总计10次。,0.6%,
210,维托里奥专家,在一场公共比赛中，扮演维托里奥·托斯卡诺且仅使用其3项专属技能，并成功逃脱。,0.6%,
211,死亡鸦鸣 ,在公共比赛中，用恐惧乌鸦击倒50名逃生者。,0.6%,
212,操纵者专家,在一场公共比赛中，扮演操纵者且仅使用其3项专属技能，并完成一次无情胜利。 ,0.5%,
213,捉迷藏大师,在一场公共比赛中，通过藏进储物柜结束任意杀手的追杀，累计35次。,0.5%,
214,影魔专家,在一场公共比赛中，扮演影魔且仅使用其3项专属技能，并完成一次无情胜利。,0.5%,
215,残酷结伴,扮演骑士，击中正被守卫追杀的逃生者50次。 ,0.4%,
216,恶骑士专家,在一场公共比赛中，扮演恶骑士且仅使用其3项专属技能，并完成一次无情胜利。 ,0.4%,
217,爆发突围,在公共比赛中，在浣熊市警察局地图中开启出口大门并成功逃脱，总计20次。,0.3%,
218,Thrill of the Chase,In public matches， down 10 survivors Exposed by the Lock On mechanic.,0.3%,
219,Adept Thalita,Escape with Thalita Lyra using only her 3 unique perks in a public match.,0.3%,
220,Adept Renato,Escape with Renato Lyra using only his 3 unique perks in a public match.,0.3%,
221,Adept Skull Merchant,Achieve a merciless victory with The Skull Merchant using only her 3 unique perks in a public match. ,0.2%,
